filename,y,void_pixels,void_pixels.1,void_ratio_2d,void_connectivity,num_void_components,largest_void_area,fractal_dimension,void_aspect_ratio_mean,void_aspect_ratio_median,void_aspect_ratio_max,valid_void_regions_for_ar,gray_mean,gray_std,grad_mean,grad_std,dark_ratio,lap_var
20.png,4.48915588,1820229,2638212,0.308993446304815,0.843760850151542,1009,2226020,1.5906498251267895,4.385181464059207,3.8289990378803855,18.20132401042877,1009,153.18988037109375,39.454410552978516,68.32759094238281,85.05355072021484,0.042004902188836686,446.75482177734375
21.png,3.36238022,941331,2593061,0.3085434296490529,0.8478628154139066,1117,2198560,1.5957479849024296,4.352492921236375,3.83475967065213,17.100113424624336,1117,157.3178253173828,40.80138397216797,76.64423370361328,90.75413513183594,0.03900575035459847,611.5781860351562
22.png,3.64889618,2689799,1654559,0.3091420190205713,0.8788982441847042,777,1454189,1.5999480779679265,4.510004958495194,3.8881445398058223,18.727494173301874,777,143.7953338623047,32.903297424316406,56.524871826171875,71.54373931884766,0.03046326452584724,294.106201171875
23.png,4.0485162,2413558,415285,0.293259656803898,0.8826974246601731,458,366571,1.600138487350648,4.800954909612248,4.361774017652132,21.246874901154552,458,142.27206420898438,35.01250076293945,84.1287841796875,105.41586303710938,0.02988567296121227,1307.1649169921875
24.png,3.93262247,2664829,156031,0.323542585089309,0.8655395402195718,288,135051,1.6415263918097514,4.061802011330389,3.732982946767408,13.520433734673365,288,149.46620178222656,42.23452377319336,129.27978515625,134.7875518798828,0.042863948936365616,2713.23681640625
25.png,4.45599446,2497461,2638258,0.3573863712561579,0.7310717905527057,933,1928756,1.6749099473763998,3.73187467431748,3.259790055821356,14.58554044828462,933,159.48500061035156,54.1873664855957,81.44539642333984,103.5823974609375,0.0847744655087155,575.3754272460938
26.png,2.82273634,2719193,1820229,0.3456043517885623,0.8068550715322083,669,1468661,1.6545037714468127,4.098170897747619,3.555681727509307,16.28269725233664,669,151.35345458984375,45.2524528503418,75.4861068725586,86.47179412841797,0.0581540388945539,409.906005859375
27.png,3.67166,2393406,941331,0.307200853724602,0.8726441602369411,590,821447,1.5855495300113691,4.873631698024549,4.229980261881067,20.47832752382566,590,146.46368408203125,33.28245544433594,62.320831298828125,86.95463562011719,0.034162851736284604,628.3609619140625
28.png,4.0216472,1662732,2689799,0.3035024201331245,0.8614026549939233,976,2317000,1.5614052885736744,4.558763922234865,4.012978174208726,16.86152894270655,976,142.04977416992188,34.531471252441406,46.25855255126953,75.76354217529297,0.03745017521943683,460.6484069824219
29.png,4.04517079,2842805,2413558,0.3156948291253691,0.8286989581356653,1025,2000113,1.6108767965529402,4.336884638132252,3.7857577062924928,17.139661345535767,1025,148.61289978027344,39.24074172973633,69.68850708007812,84.6719741821289,0.04778490896888602,465.2440490722656
